采购计划号,组织,客户,单据状态,创建时间,审核时间,创建人,贸易方式,默认币别,销售-人民币汇率汇率,人民币-美元汇率,利润率,采购子计划号,SKU,英文名,数量(pcs),数量(unit),海外仓入库商家,工厂,工厂英文名,工厂英文地址,工厂完工时间,采购计划ETD,四字简码,工厂单价(pcs),采购单价(pcs),采购单价(unit),采购总额,销售-美元汇率,销售单价(pcs),销售单价(unit),销售总金额(原币),销售总金额(USD),目的仓库,装运港,目的港,目的港国家,海关编码,退税率%,退税额,PC,CTN,总箱数,单件净重,单件毛重,单件体积M3,客人SKU,总净重,总毛重,总体积,对外货号,产品尺寸,佣金方法,结算类型,扣佣率%,扣佣,付佣率%,付佣,设计佣金率%,设计佣金,平台佣金率%,平台佣金(USD),佣金总额(USD),预计拖柜时间,颜色,中文货描,英文货描,MX code,PO#1,PO#2,barcode01,barcode02
R22GX-A81002,状元坊,Home Depot Product Authority LLC,新增,2022-03-16 16:51:23,,ZYF_JDB_GX,自营,美元,6.35,0.1575,,R22GX-A81002F11,600009833,NUTTON WALNUT BISCUIT,280,140,ZYF_JDB_GX,安吉县迪亚办公家具有限公司,安吉县迪亚办公家具有限公司,,2022-06-15 00:00:00,2022-06-15 00:00:00,,,273.0,,385680.0,1.0,58.86,,81792.0,81792.0,Traditional,宁波,美国,US,9401619000,0.13,50138.4,2,1,700,5.7,6.4,0.26,,5600.0,6510.0,186.2,,55.5*59.5*92cm,FOB佣金率,人民币出厂含税结算,0.175,14313.6,0.0,0.0,0.02,1635.84,0.002,163.58,16113.02,,米黄色,"餐椅：尺寸：W55.5*D59.5*H51.48/92CM;拆装结构。松木框架，橡胶木脚，座垫底部：5条松紧带+3条弹簧。海绵:美标新棉，面料：solartex CP0218-15 (Biscuit)，木腿颜色：walnut(阿克苏油漆);包装:58*76*59CM,2件/箱；200磅纸箱，通过ISTA-3A摔箱包装测试要求。",2 pk upholstered tufted back dining chair in walnut with aloe fabric,,5.3190761E7,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,500400006358,BIEL LMKZ,180,180,QXD_39FINC,新佳美(漳州)日用品有限公司,新佳美(漳州)日用品有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,A0O6,,75.6,75.6,13608.0,1.0,11.97,11.97,2154.6,2154.6,US Atlanta,厦门,美国,US,9403609990,0.13,1565.5221,1,1,180,5.15,6.15,0.029,,927.0,1107.0,5.22,BIEL LMKZ,28*34*40cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,43.092,0.002,4.3092,47.4012,,木纹,"""咖啡桌, 产品尺寸:DAI300,DIA350,DIA400*H39.5mm   18mm MDF贴深3D 胡桃木纹 PVC （246T），  产品尺寸:DAI300,DIA350,DIA400*H39.5mm 钢管:38*1.2mm,15*30*1.2mm，磨砂黑。电商包装过摔箱+200磅纸箱,大货要和改进后的签样一致。","COFFEE TABLE, size: 71*66*39.5cm, 18mm MDF with 246TPVC, 38*1.2mm, 15*30*1.2mm black metal tube.mail box DAI300, DIA350, DIA400*H39.5mm",H0522,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,500100014602,DEANE 246T BLACK LEG,150,150,QXD_39FINC,漳州市芗城红梅家具有限公司,漳州市芗城红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,3320,,173.0,173.0,25950.0,1.0,27.18,27.18,4077.0,4077.0,US Atlanta,厦门,美国,US,9403609990,0.13,2985.3982,1,1,150,11.0,12.0,0.083,,1650.0,1800.0,12.45,DEANE 246T BLACK LEG,115*61*73cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,81.54,0.002,8.154,89.694,,黑色,"可折叠桌子，产品尺寸：W115(54)*D61*H73.5cm,38*0.8mm，钢管喷亚光黑色+15mm MDF贴246T PVC，塑料框，注意脚塞不能掉出来。一件一箱装，摔箱包装，200磅纸箱，黄盒线条图。","Dinning table,product size:1150*610*735mm,MDF with melamine veneer,metal tube in powder coating.",,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,500100014601,DEANE WOODGRAIN A,160,160,QXD_39FINC,漳州市芗城红梅家具有限公司,漳州市芗城红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,3313,,173.0,173.0,27680.0,1.0,27.18,27.18,4348.8,4348.8,US Atlanta,厦门,美国,US,9403609990,0.13,3184.4248,1,1,160,11.0,12.0,0.083,,1760.0,1920.0,13.28,DEANE WOODGRAIN A,115*61*73cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,86.976,0.002,8.6976,95.6736,,白色,"可折叠桌子，产品尺寸：W115(54)*D61*H73.5cm,38*0.8mm，钢管喷亚光奶油白色+15mm MDF贴浅色3D木纹色PVC，塑料框，注意脚塞不能掉出来。一件一箱装，摔箱包装，200磅纸箱，黄盒线条图。","BREADFAST TABLEDinning table,product size:1150*610*735mm,MDF with melamine veneer,metal tube in powder coating.",,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,600200017425,HENON,30,30,QXD_39FINC,漳州红梅家具有限公司,漳州红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,6578,,190.0,190.0,5700.0,1.0,32.45,32.45,973.5,973.5,US Atlanta,厦门,美国,US,9403899000,0.13,655.7522,1,1,30,15.0,17.0,0.067,,450.0,510.0,2.01,HENON,120*40*86cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,19.47,0.002,1.947,21.417,,白色,层架，HM-ST21422A-4;产品尺寸: 120*40*86cm; 钢管:16* 16*0.8mm;15mm刨花板三胺面; 普通电商包装；一件一个装。,"Shelf,size：120*40*86cm，Steel pipe：16* 16*0.8mm; 15mm particleboard triamine surface;  MAILBOX；1PC/CTN,",,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,600200006050,HONOURABLE HM,60,60,QXD_39FINC,福建红梅家具有限公司,福建红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,9593,,172.0,172.0,10320.0,1.0,26.8,26.8,1608.0,1608.0,US Atlanta,厦门,美国,US,9403899000,0.13,1187.2566,1,1,60,18.84,20.0,0.06,,1130.4,1200.0,3.6,HONOURABLE HM,90*38*80cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,32.16,0.002,3.216,35.376,,深棕色,"层架，产品尺寸：W90*D38*H80cm，25*25*0.8mm/10*10*0.7mm 细磨砂黑管钢管喷粉，15mm E2 MDF贴深棕色木纹PVC（246T-2），一件一箱装，过摔箱，200Ibs+边压强度40KGS棕色纸箱线条图+电商摔箱 ，包装方式为侧封箱和王字型封箱胶，纸箱封口处加多五条拉横的封箱胶;四个角要泡沫保护好，空隙用泡沫填充物,螺丝配件包吸塑包装；整个订单需要备3%的五金包配件，单独纸盒独立包装。HM-ST29083C","W90*D38*H80cm, 25*25*0.8mm/10*10*0.7mm Steel tube in powder coating, top 5mm glass +Middle/under 15mm MDF with PVC（#246T）, canton: 97*44*16.5cm/PC, 1*40'HQ: 930 PCS",H0537,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,600200006053,METACRITIC MDF HM,30,30,QXD_39FINC,漳州红梅家具有限公司,漳州红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,9613,,190.0,190.0,5700.0,1.0,29.37,29.37,881.1,881.1,US Atlanta,厦门,美国,US,9403200000,0.13,655.7522,1,1,30,16.05,18.0,0.061,,481.5,540.0,1.83,METACRITIC MDF HM,100*35*75cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,17.622,0.002,1.7622,19.3842,,深棕色,"层架， 产品尺寸100*35*75cm，细磨砂黑钢管：16*16*0.8MM，15MM MDF板贴深棕色#246T PVC,一件一箱装，200磅加强纸箱包装，电商包装过摔箱，大货和签样一致。HM-ST28528","Shelf, product size 100*35*75cm,  15MM MDF with dark brown 246T PVC,metal tube in black powder coating, 1PC/CTN, MAILBOX.",H0618,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F01,200300007756,LACK FIVE,70,70,QXD_39FINC,新佳美(漳州)日用品有限公司,新佳美(漳州)日用品有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,AJM6,,340.0,340.0,23800.0,1.0,56.65,56.65,3965.5,3965.5,US Atlanta,厦门,美国,US,9403609990,0.13,2738.0531,1,1,70,24.6,28.36,0.178,,1722.0,1985.2,12.46,LACK FIVE,120*28.5*176.5cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,79.31,0.002,7.931,87.241,,木纹,"五层架，产品尺寸：120*28.5*176.5cm，30MM 空心板贴3D木纹PVC(34B199-10), 哑光黑色喷粉钢管，30*15*0.8mm.1件1箱装，电商包装过摔箱，200磅纸箱，大货要和签样一致。","Shelves, size 120*28.5*176.5cm, 30MM hollowcord wiht PVC(34B199-10), metaltube 30*15*0.8mm in matt black powder coating .1pc/CTN mailbox. ",H0570,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F02,500400006358,BIEL LMKZ,180,180,QXD_39FINC,新佳美(漳州)日用品有限公司,新佳美(漳州)日用品有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,A0O6,,75.6,75.6,13608.0,1.0,11.97,11.97,2154.6,2154.6,US Atlanta,厦门,美国,US,9403609990,0.13,1565.5221,1,1,180,5.15,6.15,0.029,,927.0,1107.0,5.22,BIEL LMKZ,28*34*40cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,43.092,0.002,4.3092,47.4012,,木纹,"""咖啡桌, 产品尺寸:DAI300,DIA350,DIA400*H39.5mm   18mm MDF贴深3D 胡桃木纹 PVC （246T），  产品尺寸:DAI300,DIA350,DIA400*H39.5mm 钢管:38*1.2mm,15*30*1.2mm，磨砂黑。电商包装过摔箱+200磅纸箱,大货要和改进后的签样一致。","COFFEE TABLE, size: 71*66*39.5cm, 18mm MDF with 246TPVC, 38*1.2mm, 15*30*1.2mm black metal tube.mail box DAI300, DIA350, DIA400*H39.5mm",H0522,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F02,500100014602,DEANE 246T BLACK LEG,150,150,QXD_39FINC,漳州市芗城红梅家具有限公司,漳州市芗城红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,3320,,173.0,173.0,25950.0,1.0,27.18,27.18,4077.0,4077.0,US Atlanta,厦门,美国,US,9403609990,0.13,2985.3982,1,1,150,11.0,12.0,0.083,,1650.0,1800.0,12.45,DEANE 246T BLACK LEG,115*61*73cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,81.54,0.002,8.154,89.694,,黑色,"可折叠桌子，产品尺寸：W115(54)*D61*H73.5cm,38*0.8mm，钢管喷亚光黑色+15mm MDF贴246T PVC，塑料框，注意脚塞不能掉出来。一件一箱装，摔箱包装，200磅纸箱，黄盒线条图。","Dinning table,product size:1150*610*735mm,MDF with melamine veneer,metal tube in powder coating.",,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F02,500100014601,DEANE WOODGRAIN A,140,140,QXD_39FINC,漳州市芗城红梅家具有限公司,漳州市芗城红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,3313,,173.0,173.0,24220.0,1.0,27.18,27.18,3805.2,3805.2,US Atlanta,厦门,美国,US,9403609990,0.13,2786.3717,1,1,140,11.0,12.0,0.083,,1540.0,1680.0,11.62,DEANE WOODGRAIN A,115*61*73cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,76.104,0.002,7.6104,83.7144,,白色,"可折叠桌子，产品尺寸：W115(54)*D61*H73.5cm,38*0.8mm，钢管喷亚光奶油白色+15mm MDF贴浅色3D木纹色PVC，塑料框，注意脚塞不能掉出来。一件一箱装，摔箱包装，200磅纸箱，黄盒线条图。","BREADFAST TABLEDinning table,product size:1150*610*735mm,MDF with melamine veneer,metal tube in powder coating.",,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F02,600200017425,HENON,20,20,QXD_39FINC,漳州红梅家具有限公司,漳州红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,6578,,190.0,190.0,3800.0,1.0,32.45,32.45,649.0,649.0,US Atlanta,厦门,美国,US,9403899000,0.13,437.1681,1,1,20,15.0,17.0,0.067,,300.0,340.0,1.34,HENON,120*40*86cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,12.98,0.002,1.298,14.278,,白色,层架，HM-ST21422A-4;产品尺寸: 120*40*86cm; 钢管:16* 16*0.8mm;15mm刨花板三胺面; 普通电商包装；一件一个装。,"Shelf,size：120*40*86cm，Steel pipe：16* 16*0.8mm; 15mm particleboard triamine surface;  MAILBOX；1PC/CTN,",,,,,
R22GX-A600001,闻歌台,"39F,INC.",合同已签订,2022-04-08 11:21:33,2022-04-11 10:45:53,WYXGX,自营,美元,6.35,0.1575,0.105,R22GX-A600001F02,600200006050,HONOURABLE HM,40,40,QXD_39FINC,福建红梅家具有限公司,福建红梅家具有限公司,,2022-03-30 00:00:00,2022-04-08 00:00:00,9593,,172.0,172.0,6880.0,1.0,26.8,26.8,1072.0,1072.0,US Atlanta,厦门,美国,US,9403899000,0.13,791.5044,1,1,40,18.84,20.0,0.06,,753.6,800.0,2.4,HONOURABLE HM,90*38*80cm,无佣金,人民币出厂含税结算,0.0,0.0,0.0,0.0,0.02,21.44,0.002,2.144,23.584,,深棕色,"层架，产品尺寸：W90*D38*H80cm，25*25*0.8mm/10*10*0.7mm 细磨砂黑管钢管喷粉，15mm E2 MDF贴深棕色木纹PVC（246T-2），一件一箱装，过摔箱，200Ibs+边压强度40KGS棕色纸箱线条图+电商摔箱 ，包装方式为侧封箱和王字型封箱胶，纸箱封口处加多五条拉横的封箱胶;四个角要泡沫保护好，空隙用泡沫填充物,螺丝配件包吸塑包装；整个订单需要备3%的五金包配件，单独纸盒独立包装。HM-ST29083C","W90*D38*H80cm, 25*25*0.8mm/10*10*0.7mm Steel tube in powder coating, top 5mm glass +Middle/under 15mm MDF with PVC（#246T）, canton: 97*44*16.5cm/PC, 1*40'HQ: 930 PCS",H0537,,,,
